Compounds	Object ID	InChI-Key	SMILES	
(<i>S</i>)-<i>cis</i>-<i>N</i>-methylstylopine	CPD-7846	InChIKey=GBUUKFRQPCPYPW-KKSFZXQISA-N	C[N+]16([CH](C3(=C(CC1)C=C2(C(OCO2)=C3)))CC5(=C(C4(=C(OCO4)C=C5))C6))	
macarpine	CPD-7848	InChIKey=SBVRPBAVNZNLKX-UHFFFAOYSA-N	C[N+]4(C1(C6(=C(C(OC)=CC=1C3(=C(C2(=C(OCO2)C=C3OC))C=4))C=C5(C(OCO5)=C6))))	
vinblastine	CPD-7858	InChIKey=JXLYSJRDGCGARV-RUFMUYJISA-P	CCC3(C[N+]4(CCC2(C1(C=CC=CC=1NC=2C(CC(C3)C4)(C(=O)OC)C9(C(OC)=CC8(N(C5(C7(C6(C(C(C5(C(OC)=O)O)OC(=O)C)(CC)C=CC[N+]6CC7))(C=8C=9)))C))))))O	
catharanthine	CPD-7859	InChIKey=CMKFQVZJOWHHDV-UHFFFAOYSA-O	CCC4(=CC5(C[N+]3(CCC2(C1(C=CC=CC=1NC=2C(C34)(C5)C(=O)OC)))))	
2-oxohept-3-enedioate	CPD-786	InChIKey=HYVSZVZMTYIHKF-HNQUOIGGSA-L	C(CCC=CC(C([O-])=O)=O)([O-])=O	
delphinidin 3-<i>O</i>-(6''-<i>O</i>-malonyl)-&beta;-glucoside-5'-<i>O</i>-&beta;-glucoside	CPD-7863	InChIKey=YHLZPXCREROAPG-JMYCNATMSA-M	C(O)C5(OC(OC1(C(O)=C(O)C=C(C=1)C3(C(OC2(C(O)C(O)C(O)C(COC(=O)CC([O-])=O)O2))=CC4(=C([O+]=3)C=C(O)C=C([O-])4))))C(O)C(O)C(O)5)	
ternatin A1	CPD-7865	InChIKey=NRQHLZUPGVDQEK-STVLRZNWSA-N	CC%14(C(C(C(C(OC%13(C=CC(C=CC(OCC%12(C(C(C(C(OC%11(C=CC(C=CC(OCC%10(C(C(C(C(OC4(=CC(C2(=OC1(=CC(=CC(=C1C=C2OC3(OC(C(C(C3O)O)O)COC(CC(=O)O)=O))O)O)))=CC(=C4O)OC5(OC(C(C(C5O)O)O)COC(=O)C=CC6(C=CC(=CC=6)OC7(OC(C(C(C7O)O)O)OC(=O)C=CC8(C=CC(=CC=8)OC9(OC(C(C(C9O)O)O)C)))))))O%10)O)O)O))=O)=CC=%11))O%12)O)O)O))=O)=CC=%13))O%14)O)O)O)	
cyanidin 3-(p-coumaroyl)-glucoside	CPD-7866	InChIKey=QAOBEOXFSUJDJL-CQMULRQDSA-N	C(OC(=O)C=CC1(C=CC(O)=CC=1))C5(C(O)C(O)C(O)C(OC3(C(C2(C=CC(O)=C(O)C=2))=[O+]C4(=C(C=3)C([O-])=CC(O)=C4)))O5)	
2-hydroxyhepta-2,4-dienedioate	CPD-787	InChIKey=ZBCBETMBSDTINL-WFTYEQLWSA-L	C(=O)([O-])CC=CC=C(O)C(=O)[O-]	
delphinidin-3-<i>O</i>-(6''-<i>O</i>-malonyl)-&beta;-glucoside-3'-<i>O</i>-&beta;-glucoside	CPD-7870	InChIKey=YHLZPXCREROAPG-YEQKKNNOSA-M	C(O)C5(OC(OC1(C(O)=C(O)C=C(C=1)C3(C(OC2(C(O)C(O)C(O)C(COC(CC(=O)[O-])=O)O2))=CC4(C([O+]=3)=CC(O)=CC([O-])=4))))C(O)C(O)C(O)5)	
1,6,6-trimethyl-2,7-dioxobicyclo-(3,2,2)nonan-3-one	CPD-788	InChIKey=KAUZXNDCPVMFCH-UHFFFAOYSA-N	CC2(C)(OC1(C)(CCC(CC(=O)O1)2))	
4,5-dihydro-5,5-dimethyl-4-(3-oxobutyl)furan-2(3H)-one	CPD-789	InChIKey=AWQSAIIDOMEEOD-UHFFFAOYSA-N	CC(=O)CCC1(CC(=O)OC(C)(C)1)	
sinapaldehyde glucoside	CPD-79	InChIKey=OYTCTPHTVUEGCL-GCPOEHJPSA-N	COC1(=CC(=CC(=C1OC2(C(C(C(C(O2)CO)O)O)O))OC)C=CC=O)	
6-oxocineole	CPD-790	InChIKey=CCBAAZXPXFYPBE-UHFFFAOYSA-N	CC2(C)(OC1(C)(CCC(CC(=O)1)2))	
6-<i>endo</i>-hydroxycineole	CPD-791	InChIKey=WHIKIYRWRMRQNK-UHFFFAOYSA-N	CC1(C2(C(CC(O1)(CC2)C)O))C	
gentiodelphin	CPD-7965	InChIKey=CMHKKALEZOJWDP-JXKRDHHRSA-N	C(O)C8(C(O)C(O)C(O)C(OC4(C(C3(=CC(O)=C(O)C(OC2(C(O)C(O)C(O)C(COC(=O)C=CC1(=CC=C(O)C(O)=C1))O2))=C3))=[O+]C7(=C(C=4)C(OC6(C(O)C(O)C(O)C(COC(=O)C=CC5(=CC=C(O)C(O)=C5))O6))=CC([O-])=C7)))O8)	
2-<i>n</i>-heptyl-4-hydroxyquinoline-<i>N</i>-oxide	CPD-7975	InChIKey=ICTVCUOZYWNYHM-UHFFFAOYSA-N	CCCCCCCC1(=CC(C2(C=CC=CC(N1O)=2))=O)	
metabisulfite	CPD-7987	InChIKey=WBZKQQHYRPRKNJ-UHFFFAOYSA-L	O=S(S([O-])(=O)=O)[O-]	
Triton X-100	CPD-7988	InChIKey=JYCQQPHGFMYQCF-UHFFFAOYSA-N	CC(C)(C)CC(C)(C)C1(C=CC(OCCO)=CC=1)	
DL -&alpha;-difluoromethyllysine	CPD-7990	InChIKey=WNICGTIQUHHISW-UHFFFAOYSA-O	C([N+])CCCC(C(F)F)([N+])C([O-])=O	
2-methylvaleryl-CoA	CPD-7991	InChIKey=LHPULTTWLKQXCY-XGGCCDIMSA-J	CCCC(C)C(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(OP(=O)(OCC1(C(OP([O-])(=O)[O-])C(O)C(O1)N3(C2(=C(C(N)=NC=N2)N=C3))))[O-])[O-]	
1,6-diaminohexane	CPD-7992	InChIKey=NAQMVNRVTILPCV-UHFFFAOYSA-P	C(CCCCC[N+])[N+]	
N-methylaminobutanal	CPD-7993	InChIKey=PJZBKCVVFPTFAW-UHFFFAOYSA-O	C[N+]CCCC=O	
N-methyl-&Delta;<sup>1</sup>-pyrrolinium cation	CPD-7994	InChIKey=FDWZAOGDOVQOLD-UHFFFAOYSA-N	C[N+]1(CCCC=1)	
hygrine	CPD-7995	InChIKey=ADKXZIOQKHHDNQ-UHFFFAOYSA-O	CC(CC1([N+](CCC1)C))=O	
littorine	CPD-7996	InChIKey=FNRXUEYLFZLOEZ-FXUDXRNXSA-O	C[N+]1(C2(CC(CC1CC2)OC(=O)C(O)CC3(C=CC=CC=3)))	
calystegine A3	CPD-8001	InChIKey=XOCBOVUINUHZJA-UHFFFAOYSA-O	C2(C1([N+]C(C(C(C1)O)O)(C2)O))	
deethylatrazine	CPD-801	InChIKey=DFWFIQKMSFGDCQ-UHFFFAOYSA-N	CC(NC1(N=C(N)N=C(N=1)Cl))C	
2-keto-4-hydroxypimelate	CPD-804	InChIKey=HNOAJOYERZTSNK-UHFFFAOYSA-L	C(CCC(CC(C([O-])=O)=O)O)([O-])=O	
deethylsimazine	CPD-805	InChIKey=IVENSCMCQBJAKW-UHFFFAOYSA-N	CCNC1(N=C(N=C(N=1)N)Cl)	
<I>N</I>-ethylammeline	CPD-806	InChIKey=XRVCXZWINJOORX-UHFFFAOYSA-N	CCNC1(N=C(N=C(N)N=1)O)	
<I>N</I>-ethylammelide	CPD-807	InChIKey=ILHRXTGGTUPFJR-UHFFFAOYSA-N	CCNC1(N=C(N=C(N=1)O)O)	
biuret	CPD-809	InChIKey=OHJMTUPIZMNBFR-UHFFFAOYSA-N	C(=O)(N)NC(=O)N	
coniferaldehyde glucoside	CPD-81	InChIKey=PJFKUPRDDXTASO-FAOXUISGSA-N	COC1(=C(C=CC(=C1)C=CC=O)OC2(C(C(C(C(O2)CO)O)O)O))	
2-naphthol	CPD-8131	InChIKey=JWAZRIHNYRIHIV-UHFFFAOYSA-N	C1(C=C2(C(=CC=1)C=C(O)C=C2))	
(5Z)-icosenoyl-CoA	CPD-8171	InChIKey=BSDNSNWHAZZYHM-KMYHARBQSA-J	CCCCCCCCCCCCCCC=CCCCC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(OP(=O)(OCC1(C(OP([O-])(=O)[O-])C(O)C(O1)N3(C2(=C(C(N)=NC=N2)N=C3))))[O-])[O-]	
protochlorophyll a	CPD-8177	InChIKey=WNFYKCCPDMVWRU-PTNBIZNXSA-M	C=CC2(=C(C3(C=C6(C(=C(C(=C1(C5(C(=C(C(C(=O)OC)1)[O-])C(=C(C=C4(C(=C(C(C=C2N=3)=N4)C)CC))N=5)C)))N6)CCC(=O)OCC=C(C)CCCC(CCCC(CCCC(C)C)C)C)C)))C)	
&beta;-D-glucosylpoly (ribotol phosphate)	CPD-8187		C(O)C1(C(O)C(O)C(O)C(O1)OC(COP([O-])(=O)OC(O)C(O)C(O)C(COP([O-])(=O)O[R1])O)C(O)C(O)C(O)OP([O-])(=O)OCC(O)C(O)C(O)CO)	
dolichyl palmitate	CPD-8189	InChIKey=YHBHXYXRBKHBBO-SFJBFLGLSA-N	CCCCCCCCCCCCCCCC(=O)OCCC(CCC=C(CCC=C(CCC=C(CCC=C(CCC=C(CCC=C(CCC=C(CCC=C(CCC=C(CCC=C(CCC=C(CCC=C(CCC=C(C)CCC=C(CCC=C(C)C)C)C)C)C)C)C)C)C)C)C)C)C)C)C	
bis-D-fructos 2',1:2,1'-dianhydride	CPD-8197	InChIKey=DKOQIDXJOZQKIG-TWOHWVPZSA-N	C(C1(OC3(C(C(O)1)O)(COC2(OC(CO)C(C2O)O)CO3)))O	
methyl-2-&alpha;-L-fucopyranosyl-&beta;-D-galactoside	CPD-8198	InChIKey=ZUPSABSQBFCIOU-IBVRSMRASA-N	CC1(C(C(C(O)C(O1)OC2(C(OC)OC(C(O)C2O)CO))O)O)	
dihydroconiferyl alcohol glucoside	CPD-82	InChIKey=QFYFLJZBZITPGX-IBEHDNSVSA-N	COC1(=C(C=CC(=C1)CCCO)OC2(C(C(C(C(O2)CO)O)O)O))	
N<sup>2</sup>-succinyl-L-glutamate 5-semialdehyde	CPD-822	InChIKey=XTOKIEIBKARFSZ-LURJTMIESA-L	C(CCC(NC(CCC(=O)[O-])=O)C(=O)[O-])=O	
ebelactone B	CPD-8226	InChIKey=UNBMQQNYLCPCHS-VYNDPHDASA-N	CCC(C(C(C(C(C=C(CC(C1(C(CC)C(O1)=O))C)C)C)=O)C)O)C	
5-guanidino-2-oxo-pentanoate	CPD-824	InChIKey=ARBHXJXXVVHMET-UHFFFAOYSA-N	C(C(CCCNC(N)=[N+])=O)(=O)[O-]	
4-guanidinobutyraldehyde	CPD-825	InChIKey=VCOFTLCIPLEZKE-UHFFFAOYSA-O	C(CC[CH]=O)NC(N)=[N+]	
&beta;-D-ribosylnicotinate	CPD-8259	InChIKey=PUEDDPCUCPRQNY-ZYUZMQFOSA-N	C(O)C1(C(O)C(O)C(O1)[N+]2(C=CC=C(C(=O)[O-])C=2))	
2-deoxy-5-dehydro-D-gluconate	CPD-827	InChIKey=UCYNJPYWOSFBAT-CVYQJGLWSA-M	C(=O)([O-])CC(O)C(O)C(=O)CO	
carbon tetrachloride	CPD-842	InChIKey=VZGDMQKNWNREIO-UHFFFAOYSA-N	C(Cl)(Cl)(Cl)Cl	
chloroform	CPD-843	InChIKey=HEDRZPFGACZZDS-UHFFFAOYSA-N	C(Cl)(Cl)Cl	
carbon disulfide	CPD-844	InChIKey=QGJOPFRUJISHPQ-UHFFFAOYSA-N	C(=S)=S	
methyl chloride	CPD-845	InChIKey=NEHMKBQYUWJMIP-UHFFFAOYSA-N	CCl	
1,2-dihydroxy-5-(methylthio)pent-1-en-3-one	CPD-85	InChIKey=CILXJJLQPTUUSS-XQRVVYSFSA-M	CSCCC(C([O-])=CO)=O	
phenylureidoacetic acid	CPD-8524	InChIKey=GIOUOHDKHHZWIQ-UHFFFAOYSA-N	C(=O)(O)C(NC(=O)N)C1(C=CC=CC=1)	
pyruvate-kinase phosphate	CPD-8525		C(OP([O-])(=O)[O-])C(NC(=O)[R])C(=O)N[R]	
R'C(R)S-S(R)CR'	CPD-8529		C(SSC([R2])[R1])([R4])[R3]	
3-D-glucuronosyl-N2-,6-disulo-&beta;-D-glucosamine	CPD-8530	InChIKey=CRPMVGCTWVCEFA-ORQOFBDUSA-K	C(C1(C(C(C(C(O1)O)NS([O-])(=O)=O)OC2(OC(C(O)C(C2O)O)C([O-])=O))O))OS([O-])(=O)=O	
DNA without lesion	CPD-8534			
D-xylosylprotein	CPD-8542		C1(C(O)C(O)C(O)C([Protein])O1)	
6-(D-glucose-1-phospho)-D-mannosylglycoprotein	CPD-8559		C(O)C1(C(O)C(O)C(O)C(O1)OP([O-])(=O)OCC2(C(O)C(O)C(O)C(O[a glycoprotein])O2))	
myosin light-chain phosphate	CPD-8563		C(OP(=O)(O)O)C(C(=O)N[R])NC(=O)[R]	
myosin light-chain	CPD-8564		C(O)C(C(=O)N[R])NC(=O)[R]	
1,4-&alpha;-D-glucooligosaccharide	CPD-8576		C1([R])(C(CO)OC(C(C1O)O)OC2(C(CO)OC(C(C2O)O)OC3(C(CO)OC(C(C3O)O)O[R])))	
oligosaccharide containing 6-methyl-D-glucose units	CPD-8577		COCC1(C(C(C(C(O1)OC2(C(CO)OC(C(C2O)O)O[R]))O)O)OC3(C(C(C([R])C(CO)O3)O)O))	
a [glycoprotein]-<i>O</i>-palmitoyl-L-serine	CPD-8583		CCCCCCCCCCCCCCCC(OCC(C(=O)[a mucin-type <i>O</i>-glycan])N[a mucin-type <i>O</i>-glycan])=O	
a nucleotide diphosphate-aldose	CPD-8586		C(OP(=O)([O-])OP(=O)(O[an aldose])[O-])C1(OC([a nucleobase])C([R])C(O)1)	
m7G(5')pppAm	CPD-8628	InChIKey=UFVBPMPLSKDIFV-YJRKASINSA-L	C[N+]5(=CN(C4(OC(COP([O-])(=O)OP([O-])(=O)OP(=O)([O-])OCC3(C(O)C(OC)C(N2(C1(N=CN=C(N)C=1N=C2)))O3))C(O)C(O)4))C6(=C5C(=O)NC(N)=N6))	
m7G(5')pppm6Am	CPD-8629	InChIKey=JKXBDMASZFWFPA-ATLXHDSDSA-L	CNC1(N=CN=C2(C=1N=CN2C3(C(C(C(O3)COP(OP(OP(OCC4(OC(C(C4O)O)N5(C6(N=C(NC(C([N+](=C5)C)=6)=O)N))))([O-])=O)([O-])=O)(=O)[O-])O)OC)))	
(+)-<i>exo</i>-5-hydroxycamphor	CPD-863	InChIKey=DJQYBVLXBVJHMU-PJKMHFRUSA-N	CC1(C)([CH]2(C(O)CC1(C(=O)C2)C))	
(+)-bornane-2,5-dione	CPD-864	InChIKey=UDIUFGIXIGLRSM-WKEGUHRASA-N	CC1(C)([CH]2(C(=O)CC(C)1C(=O)C2))	
[(1R)-4,5,5-trimethyl-2-oxocyclopent-3-enyl]acetate	CPD-866	InChIKey=UJJNLVMCZZZXFW-ZETCQYMHSA-M	CC1(C(C(C(C=1)=O)CC(=O)[O-])(C)C)	
[(1R)-2,2,3-trimethyl-5-oxocyclopent-3-enyl]acetyl-CoA	CPD-867	InChIKey=QRPFCCJPSQOMPY-WNZSEHGDSA-J	CC1(C(C(C(C=1)=O)CC(SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(OP(=O)(OCC2(C(OP([O-])(=O)[O-])C(O)C(O2)N4(C3(=C(C(N)=NC=N3)N=C4))))[O-])[O-])=O)(C)C)	
[(2R)-3,3,4-trimethyl-6-oxo-3,6-dihydro-1H-pyran-2-yl]acetyl-CoA	CPD-868	InChIKey=QVDBPCIECHFDHZ-REMLWJLGSA-J	CC4(C(C)(C)C(CC(=O)SCCNC(=O)CCNC(C(O)C(COP(=O)([O-])OP(OCC1(OC(C(O)C1OP([O-])([O-])=O)N2(C3(N=CN=C(C(N=C2)=3)N))))([O-])=O)(C)C)=O)OC(=O)C=4)	
9,10-epoxy-10,12Z,15Z-octadecatrienoate	CPD-8682	InChIKey=AAJODOMQIUQTFG-XAICKWAHSA-M	CCC=CCC=CC=C1(C(CCCCCCCC([O-])=O)O1)	
(12Z)-9-hydroxy-10-oxo-octadec-12-enoate	CPD-8683	InChIKey=KUSHOISAFGTTRU-YFHOEESVSA-M	CCCCCC=CCC(C(CCCCCCCC([O-])=O)O)=O	
crocetin neapolitanose gentiobiosyl ester	CPD-8688	InChIKey=KDMXTQFDDQQZKA-MMWWSJEESA-N	CC(=CC=CC=C(C=CC=C(C(=O)OC3(C(OC1(C(C(C(C(CO)O1)O)O)O))C(O)C(O)C(COC2(OC(CO)C(O)C(C(O)2)O))O3))C)C)C=CC=C(C(OC5(OC(COC4(OC(CO)C(O)C(C(O)4)O))C(O)C(O)C(O)5))=O)C	
&Delta;<SUP>2,5</SUP>-3,4,4-trimethylpimeloyl-CoA	CPD-869	InChIKey=DEQKKPDRDCEPQL-GBVVBBQNSA-I	CC(C(C)(C)C=CC(=O)[O-])=CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)([O-])OP([O-])(=O)OCC1(OC(C(C(OP([O-])([O-])=O)1)O)N2(C3(N=CN=C(C(N=C2)=3)N))))O	
(9Z,11E,1'E)-12-(1'-hexenyloxy)-9,11-dodecadienoate	CPD-8690	InChIKey=NQNHRHWFZHFAAH-XSWVPMOFSA-M	CCCCC=COC=CC=CCCCCCCCC([O-])=O	
2-hydroxy-4-carboxymuconate-6-semialdehyde	CPD-87	InChIKey=YOMOLPRSDGXHCY-CLLRDSTBSA-L	C(C=O)=C(C=C(O)C([O-])=O)C(=O)[O-]	
8&alpha;-(N(3)-histidyl)riboflavin	CPD-8703	InChIKey=BVCJIPIDFYFHIC-UHFFFAOYSA-M	CC1(=C(C=C2(N(C3(=NC([N-]C(C(=NC(=C1)2)3)=O)=O))CC(C(C(CO)O)O)O))CN4(C=C(N=C4)CC([N+])C(=O)[O-]))	
(2E,4Z)-2-hydroxymuconate	CPD-8720	InChIKey=JBEBGTMCZIGUTK-HSFFGMMNSA-L	[CH]([CH]=C(C([O-])=O)O)=[CH]C([O-])=O	
3-methylbenzaldehyde	CPD-8774	InChIKey=OVWYEQOVUDKZNU-UHFFFAOYSA-N	CC1(C=CC=C(C=O)C=1)	
3-methoxybenzaldehyde	CPD-8779	InChIKey=WMPDAIZRQDCGFH-UHFFFAOYSA-N	COC1(=CC(=CC=C1)C=O)	
3-fluorobenzaldehyde	CPD-8780	InChIKey=PIKNVEVCWAAOMJ-UHFFFAOYSA-N	C(C1(C=C(C=CC=1)F))=O	
2-hydroxy-5-methyl-6-oxohexa-2,4-dienoate	CPD-8781	InChIKey=ADNFTGVUUFRKSK-JGJYBARTSA-M	CC(=CC=C(C([O-])=O)O)C=O	
2-hydroxy-6-oxohepta-2,4-dienoate	CPD-8782	InChIKey=HVZGWILTESYJSP-ZPYFUIHZSA-M	CC(=O)C=CC=C(O)C([O-])=O	
4,4'-diisothiocyanostilbene-2,2'-disulfonate	CPD-8783	InChIKey=YSCNMFDFYJUPEF-OWOJBTEDSA-L	C(=NC1(C=C(C(=CC=1)C=CC2(C(=CC(=CC=2)N=C=S)S(=O)(=O)[O-]))S(=O)(=O)[O-]))=S	
2-oxo-4-carboxypent-4-enoate	CPD-88	InChIKey=OARCEFMISOKEKI-UHFFFAOYSA-L	C=C(CC(C([O-])=O)=O)C(=O)[O-]	
2,4-dihydroxybenzoate	CPD-8815	InChIKey=UIAFKZKHHVMJGS-UHFFFAOYSA-M	C(C1(C(=CC(=CC=1)O)O))([O-])=O	
2,6-dihydroxybenzoate	CPD-8816	InChIKey=AKEUNCKRJATALU-UHFFFAOYSA-M	C(C1(C(O)=CC=CC=1O))(=O)[O-]	
p-aminosalicylate	CPD-8817	InChIKey=WUBBRNOQWQTFEX-UHFFFAOYSA-M	C(C1(C(=CC(=CC=1)N)O))([O-])=O	
bathophenanthroline sulfonate	CPD-8818	InChIKey=GTBSSZZGINYBDZ-UHFFFAOYSA-L	C1(N=C3(C(=C(C=1)C2(C=CC=C(C=2)S([O-])(=O)=O))C=CC4(=C3N=CC=C4C5(C=CC(=CC=5)S(=O)(=O)[O-]))))	
2,2'-dipyridyl	CPD-8819	InChIKey=ROFVEXUMMXZLPA-UHFFFAOYSA-N	C1(C=C(N=CC=1)C2(C=CC=CN=2))	
<i>cis</i>-anthracene dihydrodiol	CPD-8820	InChIKey=UJETWGFPSGKAAS-UHFFFAOYSA-N	C2(=CC3(C=C1(C=CC(O)C(O)C1=CC(C=C2)=3)))	
<i>cis</i>-phenanthrene dihydrodiol	CPD-8821	InChIKey=FZOALBNXOKAOEW-UHFFFAOYSA-N	C2(C=CC3(=C1(C=CC(O)C(O)C1=CC=C(C=2)3)))	
<i>cis</i>-biphenyl dihydrodiol	CPD-8822	InChIKey=XONDYKPFRMLYJM-SAIIYOCFSA-N	C1(C=CC(=CC=1)C2(C=CCC(O)C(O)2))	
<i>cis</i>-ethylbenzene dihydrodiol	CPD-8823	InChIKey=SIYDUPATYRMKPW-SFYZADRCSA-N	CCC1(C=CC(O)C(O)C=1)	
<i>cis</i>-toluene dihydrodiol	CPD-8824	InChIKey=SKLOKBWVNQVDIL-RQJHMYQMSA-N	CC1(C=CC(C(O)C=1)O)	
<i>cis</i>-benzene dihydrodiol	CPD-8825	InChIKey=YDRSQRPHLBEPTP-LWOQYNTDSA-N	C1(C=CC(C(C=1)O)O)	
D-homocysteine	CPD-8826	InChIKey=FFFHZYDWPBMWHY-GSVOUGTGSA-N	C(C(CCS)[N+])(=O)[O-]	
2-chloro-3-oxoadipate	CPD-8827	InChIKey=YJYHEBUTQYISNJ-UHFFFAOYSA-L	C(C(Cl)C(CCC([O-])=O)=O)([O-])=O	
5-chloro-4-oxopentanoate	CPD-8828	InChIKey=NDODXPYZKSROJQ-UHFFFAOYSA-M	C(=O)([O-])CCC(=O)CCl	
nicotinamide guanine dinucleotide	CPD-8830	InChIKey=NCFRZZVNRVEQJK-OLRWKSFRSA-N	C5([N+](C4(C(C(C(COP(OP(OCC3(OC(N2(C1(NC(=[N+]C(C=1N=C2)=O)N)))C(C3O)O))(=O)[O-])(=O)[O-])O4)O)O))=CC=CC=5C(N)=O)	
6-aminohexanoate	CPD-884	InChIKey=SLXKOJJOQWFEFD-UHFFFAOYSA-N	C(CCCCC(=O)[O-])[N+]	
but-1-en-3-one	CPD-8847	InChIKey=FUSUHKVFWTUUBE-UHFFFAOYSA-N	C=CC(C)=O	
dopamine quinone	CPD-8851	InChIKey=PQPXZWUZIOASKS-UHFFFAOYSA-O	C(CC1(=CC(C(C=C1)=O)=O))[N+]	
DL-&beta;-hydroxynorvaline	CPD-8857	InChIKey=LGVJIYCMHMKTPB-UHFFFAOYSA-N	CCC(C(C(=O)[O-])[N+])O	
DL-<i>threo</i>-3,4-dihydroxyphenylserine	CPD-8858	InChIKey=QXWYKJLNLSIPIN-JGVFFNPUSA-N	C(C(C(C1(C=CC(=C(C=1)O)O))O)[N+])(=O)[O-]	
methylmercuric chloride	CPD-8865	InChIKey=BABMCXWQNSQAOC-UHFFFAOYSA-M	C[Hg]Cl	
<i>n</i>-butylmercuric chloride	CPD-8866	InChIKey=OKPMTXZRMGMMOO-UHFFFAOYSA-M	CCCC[Hg]Cl	
fluorobenzene	CPD-8871	InChIKey=PYLWMHQQBFSUBP-UHFFFAOYSA-N	C1(C=CC(=CC=1)F)	
<i>S</i>-D-mandeloylglutathione	CPD-8872	InChIKey=YUKXYNWSJMQEBV-UHFFFAOYSA-M	C(CNC(C(CSC(C(C1(C=CC=CC=1))O)=O)NC(CCC(C(=O)[O-])[N+])=O)=O)([O-])=O	
2-oxopropane sulfonate	CPD-8874	InChIKey=ZYKVCFGIFGTEPR-UHFFFAOYSA-M	CC(CS([O-])(=O)=O)=O	
benzoylacetone	CPD-8880	InChIKey=CVBUKMMMRLOKQR-UHFFFAOYSA-N	CC(CC(C1(C=CC=CC=1))=O)=O	
phenyl acetoacetate	CPD-8881	InChIKey=PFENPVAFZTUOOM-UHFFFAOYSA-N	CC(CC(OC1(C=CC=CC=1))=O)=O	
3-deoxy-D-galactose	CPD-8882	InChIKey=RUIACMUVCHMOMF-IISSFJTQSA-N	C(C(C(CC(CO)O)O)O)O	
glyoxal	CPD-8887	InChIKey=LEQAOMBKQFMDFZ-UHFFFAOYSA-N	C(C=O)=O	
17-O-acetylajmaline	CPD-8898	InChIKey=SRISWFJLVRCABV-QQTHMAAHSA-N	CCC4([CH]3(C5(C(OC(C)=O)C26(C1(C(=CC=CC=1)N(C)[CH]2[CH](C3)N(C(O)4)[CH]5C6)))))	
D-lyxonate	CPD-8902	InChIKey=QXKAIJAYHKCRRA-UZBSEBFBSA-M	C(C(C(C(CO)O)O)O)([O-])=O	
13-[(<i>E</i>)-2-methylcrotonoyl]oxylupanine	CPD-8918	InChIKey=UPVPJQNTGLTBPC-QLKAYGNNSA-O	CC=C(C(OC4(CC3(C1(CC(C2(CCCC(N(C1)2)=O))C[N+]3CC4))))=O)C	
17-oxosparteine	CPD-8919	InChIKey=YQMWQSMYVPLYDI-UHFFFAOYSA-O	C4(CCCC3(C1(CC(C2(CCCCN(C1=O)2))C[N+]34)))	
clotrimazol	CPD-8926	InChIKey=VNFPBHJOKIVQEB-UHFFFAOYSA-N	C1(N=CN(C=1)C(C2(=C(Cl)C=CC=C2))(C3(C=CC=CC=3))C4(C=CC=CC=4))	
6-<i>O</i>-galloylglucose	CPD-8948	InChIKey=VGVDLJNNDOFWKT-JEUROIALSA-N	C(C1(OC(C(C(C1O)O)O)O))OC(=O)C2(C=C(C(=C(C=2)O)O)O)	
chlorpyrifos	CPD-8963	InChIKey=SBPBAQFWLVIOKP-UHFFFAOYSA-N	CCOP(=S)(OCC)OC1(=NC(Cl)=C(Cl)C=C(Cl)1)	
coumaphos	CPD-8964	InChIKey=BXNANOICGRISHX-UHFFFAOYSA-N	CCOP(OC2(=CC=C1(C(OC(C(=C1C)Cl)=O)=C2)))(OCC)=S	
diazinon	CPD-8965	InChIKey=FHIVAFMUCKRCQO-UHFFFAOYSA-N	CCOP(OC1(C=C(N=C(N=1)C(C)C)C))(OCC)=S	
fensulfothion	CPD-8966	InChIKey=XDNBJTQLKCIJBV-UHFFFAOYSA-N	CCOP(OC1(C=CC(=CC=1)S(C)=O))(OCC)=S	
dimethylthiophosphate	CPD-8974	InChIKey=WWJJVKAEQGGYHJ-UHFFFAOYSA-M	COP([O-])(=S)OC	
3,4,5,3',4',5'-hexahydroxydiphenate	CPD-8976	InChIKey=MFTSECOLKFLUSD-UHFFFAOYSA-L	C(C1(C=C(C(=C(C=1C2(C(=C(C(=CC=2C(=O)[O-])O)O)O))O)O)O))([O-])=O	
succinamate	CPD-8979	InChIKey=JDVPQXZIJDEHAN-UHFFFAOYSA-M	C(CCC([O-])=O)(N)=O	
<i>N</i><sup>&alpha;</sup>-acetyl-L-asparagine	CPD-8980	InChIKey=HXFOXFJUNFFYMO-BYPYZUCNSA-M	CC(NC(C([O-])=O)CC(=O)N)=O	
&beta;-alanine amide	CPD-8981	InChIKey=RSDOASZYYCOXIB-UHFFFAOYSA-O	C(CC(N)=O)[N+]	
<i>N</i><sup>&beta;</sup>-L-aspartyl-phenylalanine methyl ester	CPD-8982	InChIKey=SHHIPKDJQYIJJF-QWRGUYRKSA-N	C(O)(=O)C(N)CC(=O)NC(C(=O)OC)CC1(C=CC=CC=1)	
<i>cis</i>-stilbene oxide	CPD-8984	InChIKey=ARCJQKUWGAZPFX-OKILXGFUSA-N	C3(C=CC(C2(C(C1(C=CC=CC=1))O2))=CC=3)	
